tip.label,HRAF.culture,Expression,Restrictiveness,lat,long,Subsistence_Pattern,Subsistence,Biome,Landscape,MeanMonthlyTemperature,Temperature_Predictability,Temperature_Variance,Precipitation_Variance,MeanMonthlyPrecipitation,Precipitation_Predictability,Men_Poly
Songhai,Songhai,1,1,17,-2,Intensive Agricultralists,Agricultralists,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,27,0.669153854,30,777977038,18840,0.579141479,1
Tallensi,Tallensi,0,0,11,-1,Intensive Agricultralists,Agricultralists,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,26,0.727287881,4,8784440210,87247,0.634377422,40
Tanala,Tanala,0,0,-22,48,Intensive Agricultralists,Agricultralists,Tropical & Subtropical Moist Broadleaf Forests,Forests,21,0.782051936,6,10140991395,117687,0.64028757,31
Teda,Teda,1,1,21,18,Agro-Pastoralists,Agricultralists,Deserts & Xeric Shrublands,Desert,22,0.641627338,46,156975917,5593,0.303939394,10
Tehuelche,Tehuelche,0,0,-41,-68,Hunter-Gatherers,Hunter-Gatherers,"Temperate Grasslands, Savannas, & Shrublands",Grasslands,8,0.651734691,37,602182954,42585,0.61734263,1
Thonga,Tsonga,0,0,-26,32,Agro-Pastoralists,Horticultralists,Tropical & Subtropical Moist Broadleaf Forests,Forests,18,0.718662611,9,12418251664,134198,0.634970748,40
Tikopia,Tikopia,1,1,-12,169,Other Combos,Horticultralists,Tropical & Subtropical Moist Broadleaf Forests,Forests,27,0.844851678,1,15697970977,239614,0.677857147,5
Tiv,Tiv,1,1,7,9,Horticultralists,Horticultralists,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,24,0.770463564,2,12760382786,150154,0.650224499,20
Tiwi,Tiwi,1,2,-11,131,Hunter-Gatherers,Hunter-Gatherers,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,27,0.809061767,2,27168025880,148309,0.604742188,70
Toda,Toda,1,3,12,77,Pastoralists,Pastoralists,Tropical & Subtropical Moist Broadleaf Forests,Forests,24,0.79479302,2,36643643801,196914,0.636273301,1
Toradja,Eastern Toraja,1,2,-2,121,Horticultralists,Horticultralists,Tropical & Subtropical Moist Broadleaf Forests,Forests,23,0.842534407,0,14773302749,245749,0.669679837,
Trobrianders,Trobriands,1,1,-9,151,Other Combos,Horticultralists,Tropical & Subtropical Moist Broadleaf Forests,Forests,27,0.848110871,1,12473689601,206629,0.672301215,
Trukese,Chuuk,1,3,7,152,Other Combos,Horticultralists,Tropical & Subtropical Moist Broadleaf Forests,Forests,28,0.854249051,0,18619153518,281261,0.697768963,0
Trumai,Trumai,1,1,-12,-54,Hunter-Gatherers,Hunter-Gatherers,Tropical & Subtropical Moist Broadleaf Forests,Forests,24,0.750440693,4,16468389692,138303,0.616533436,12
Tuareg,Tuareg,1,3,23,7,Agro-Pastoralists,Pastoralists,Deserts & Xeric Shrublands,Desert,20,0.637141328,55,203070726,5724,0.27951869,0
Tupinamba,Tupinamba,1,2,-23,-45,Hunter-Gatherers,Hunter-Gatherers,Tropical & Subtropical Moist Broadleaf Forests,Forests,19,0.726463941,8,9477828432,119486,0.650196306,30
